Product Name,Product Price,Product Link,Sustainable,Sustainability Classification
"RD PLAST Wall Mount AC Brackets (RW 8547, White)",₹599,/rd-plast-wall-mount-ac-brackets-rw-8547-white-/p/209783,,0
"V-GUARD 12 Amps Voltage Stabilizer For 1.5 Ton Air Conditioner (170 - 270 V, Latest IC Technology, VG 400, Grey)","₹1,692",/v-guard-12-amps-voltage-stabilizer-for-1-5-ton-air-conditioner-170-270-v-latest-ic-technology-vg-400-grey-/p/208969,,0
"Croma 4 in 1 Convertible 1.5 Ton 3 Star Inverter Split AC with Dust Filter (2024 Model, Copper Condenser, CRLA018IND283258)","₹29,490",/croma-4-in-1-convertible-1-5-ton-3-star-inverter-split-ac-with-dust-filter-2024-model-copper-condenser-crla018ind283258-/p/303613,,1
"Croma 1600 Watts Steam Iron (Overheat Safety, CRAH2053, Grey)",₹699,/croma-1600-watts-steam-iron-overheat-safety-crah2053-grey-/p/244113,,1
"Croma 4 in 1 Convertible 1 Ton 3 Star Inverter Split AC with Dust Filter (2024 Model, Copper Condenser, CRLA012IND283257)","₹27,490",/croma-4-in-1-convertible-1-ton-3-star-inverter-split-ac-with-dust-filter-2024-model-copper-condenser-crla012ind283257-/p/303610,,1
"BOSCH Washing Machine Cleaner (311925, White)",₹699,/bosch-washing-machine-cleaner-311925-white-/p/226657,,1
"Croma 6.5 kg 5 Star Semi Automatic Washing Machine with Spiral Pulsator (CRLW065SMF202351, Blue)","₹6,790",/croma-6-5-kg-5-star-semi-automatic-washing-machine-with-spiral-pulsator-crlw065smf202351-blue-/p/257199,,0
"Croma 7.5 kg 5 Star Fully Automatic Top Load Washing Machine (CRLWMD702STL75, Fuzzy Control, Grey)","₹12,390",/croma-7-5-kg-5-star-fully-automatic-top-load-washing-machine-crlwmd702stl75-fuzzy-control-grey-/p/243594,,0
"Croma 7 kg 5 Star Semi Automatic Washing Machine with Built-in Soak Function (CRLW070SMF248601, Burgandy)","₹7,990",/croma-7-kg-5-star-semi-automatic-washing-machine-with-built-in-soak-function-crlw070smf248601-burgandy-/p/268675,,0
"Whirlpool FP 263D Protton Roy 235 Litres Frost Free Triple Door Refrigerator with 6th Sense ActiveFresh Technology (20807, Alpha Steel)","₹24,590",/whirlpool-fp-263d-protton-roy-235-litres-frost-free-triple-door-refrigerator-with-6th-sense-activefresh-technology-20807-alpha-steel-/p/207475,,1
"O GENERAL 1 Ton 3 Star Inverter Split AC (Copper Condenser, ASGG12CPAA-B)","₹38,990",/o-general-1-ton-3-star-inverter-split-ac-copper-condenser-asgg12cpaa-b-/p/269314,,1
"Croma 7 kg 5 Star Fully Automatic Top Load Washing Machine (CRLW070FAF259601, Air Dry Function, Grey)","₹11,490",/croma-7-kg-5-star-fully-automatic-top-load-washing-machine-crlw070faf259601-air-dry-function-grey-/p/252060,,1
VOLTAS Vectra 4 in 1 Convertible 1.3 Ton 3 Star Inverter Split AC with Anti Dust Filter (Copper Condenser),"₹29,490",/voltas-vectra-4-in-1-convertible-1-3-ton-3-star-inverter-split-ac-with-anti-dust-filter-copper-condenser-/p/270260,,1
"Panasonic SU 7 in 1 Convertible 1.5 Ton 3 Star Inverter Split Smart AC with Anti Dust Filter (2024 Model, Copper Condenser, CS/CU-SU18YKYWT)","₹35,490",/panasonic-su-7-in-1-convertible-1-5-ton-3-star-inverter-split-smart-ac-with-anti-dust-filter-2024-model-copper-condenser-cs-cu-su18ykywt-/p/304730,,0
"Whirlpool FP 343D Protton Roy 300 Litres Frost Free Triple Door Refrigerator with 6th Sense ActiveFresh Technology (20817, Alpha Steel)","₹30,800",/whirlpool-fp-343d-protton-roy-300-litres-frost-free-triple-door-refrigerator-with-6th-sense-activefresh-technology-20817-alpha-steel-/p/207861,,0
"CNS Cover for Front Load 7 to 9 kg Washing Machines (36 Microns Cotton Coated Lamination, 8908011073261, Grey)",₹330,/cns-cover-for-front-load-7-to-9-kg-washing-machines-36-microns-cotton-coated-lamination-8908011073261-grey-/p/268441,,0
"Yale Smart Locks (Power Bank Support, YLDRPB- BL, Black)","₹2,199",/yale-smart-locks-power-bank-support-yldrpb-bl-black-/p/275253,,1
"O GENERAL 1.5 Ton 3 Star Inverter Split AC (Copper Condenser, ASGG18CPAA-B)","₹49,990",/o-general-1-5-ton-3-star-inverter-split-ac-copper-condenser-asgg18cpaa-b-/p/269317,,1
"wipro 9 Watts Electric Powered LED Bulb (Voice Assistant Supported, NS9400, White)",₹521,/wipro-9-watts-electric-powered-led-bulb-voice-assistant-supported-ns9400-white-/p/260392,,1
"Croma 6.5 kg 5 Star Fully Automatic Top Load Washing Machine (CRLWMD701STL65, Fuzzy Control, Grey)","₹10,990",/croma-6-5-kg-5-star-fully-automatic-top-load-washing-machine-crlwmd701stl65-fuzzy-control-grey-/p/243593,,0
"Whirlpool 7 kg 5 Star Fully Automatic Top Load Washing Machine (Classic, 31616, 6th Sense Technology, Grey)","₹15,200",/whirlpool-7-kg-5-star-fully-automatic-top-load-washing-machine-classic-31616-6th-sense-technology-grey-/p/270618,,1
"SAMSUNG 183 Litres 3 Star Single Door Refrigerator with Automatic Cooling Technology (RR20C1Y23S8/HL, Elegant Inox)","₹14,490",/samsung-183-litres-3-star-single-door-refrigerator-with-automatic-cooling-technology-rr20c1y23s8-hl-elegant-inox-/p/268238,,0
"Croma 1100 Watts Dry Iron (Weilburger Dual Coat Soleplate, AV4415, White)",₹499,/croma-1100-watts-dry-iron-weilburger-dual-coat-soleplate-av4415-white-/p/273132,,1
"Whirlpool Neofresh 235 Litres 2 Star Frost Free Double Door Refrigerator with Microblock Technology (22099, Grey)","₹21,390",/whirlpool-neofresh-235-litres-2-star-frost-free-double-door-refrigerator-with-microblock-technology-22099-grey-/p/304858,,0
"VOLTAS Vectra 4 in 1 Convertible 1.5 Ton 3 Star Inverter Split AC with Anti Dust Filter (2023 Model, Copper Condenser)","₹32,990",/voltas-vectra-4-in-1-convertible-1-5-ton-3-star-inverter-split-ac-with-anti-dust-filter-2023-model-copper-condenser-/p/268029,,1
"DAIKIN Standard Plus 1.5 Ton 3 Star Inverter Split AC (Copper Condenser, Air Purification Filter, ATKL50UV)","₹35,490",/daikin-standard-plus-1-5-ton-3-star-inverter-split-ac-copper-condenser-air-purification-filter-atkl50uv-/p/257366,,1
"Whirlpool 7.5 kg 5 Star Fully Automatic Top Load Washing Machine (Whitemagic Elite, 31370, Lint Filter, Grey)","₹16,225",/whirlpool-7-5-kg-5-star-fully-automatic-top-load-washing-machine-whitemagic-elite-31370-lint-filter-grey-/p/221776,,0
"White Westinghouse 7 kg 5 Star Fully Automatic Top Load Washing Machine (HDT7000S, Water Reserve Technology, Grey)","₹11,499",/white-westinghouse-7-kg-5-star-fully-automatic-top-load-washing-machine-hdt7000s-water-reserve-technology-grey-/p/303534,,0
