Product Name,Product Price,Product Link
"RD PLAST Wall Mount AC Brackets (RW 8547, White)",₹599,/rd-plast-wall-mount-ac-brackets-rw-8547-white-/p/209783
"V-GUARD 12 Amps Voltage Stabilizer For 1.5 Ton Air Conditioner (170 - 270 V, Latest IC Technology, VG 400, Grey)","₹1,692",/v-guard-12-amps-voltage-stabilizer-for-1-5-ton-air-conditioner-170-270-v-latest-ic-technology-vg-400-grey-/p/208969
"Croma 4 in 1 Convertible 1.5 Ton 3 Star Inverter Split AC with Dust Filter (2024 Model, Copper Condenser, CRLA018IND283258)","₹29,490",/croma-4-in-1-convertible-1-5-ton-3-star-inverter-split-ac-with-dust-filter-2024-model-copper-condenser-crla018ind283258-/p/303613
"Croma 1600 Watts Steam Iron (Overheat Safety, CRAH2053, Grey)",₹699,/croma-1600-watts-steam-iron-overheat-safety-crah2053-grey-/p/244113
"Croma 4 in 1 Convertible 1 Ton 3 Star Inverter Split AC with Dust Filter (2024 Model, Copper Condenser, CRLA012IND283257)","₹27,490",/croma-4-in-1-convertible-1-ton-3-star-inverter-split-ac-with-dust-filter-2024-model-copper-condenser-crla012ind283257-/p/303610
"BOSCH Washing Machine Cleaner (311925, White)",₹699,/bosch-washing-machine-cleaner-311925-white-/p/226657
"Croma 6.5 kg 5 Star Semi Automatic Washing Machine with Spiral Pulsator (CRLW065SMF202351, Blue)","₹6,790",/croma-6-5-kg-5-star-semi-automatic-washing-machine-with-spiral-pulsator-crlw065smf202351-blue-/p/257199
"Croma 7.5 kg 5 Star Fully Automatic Top Load Washing Machine (CRLWMD702STL75, Fuzzy Control, Grey)","₹12,390",/croma-7-5-kg-5-star-fully-automatic-top-load-washing-machine-crlwmd702stl75-fuzzy-control-grey-/p/243594
"Croma 7 kg 5 Star Semi Automatic Washing Machine with Built-in Soak Function (CRLW070SMF248601, Burgandy)","₹7,990",/croma-7-kg-5-star-semi-automatic-washing-machine-with-built-in-soak-function-crlw070smf248601-burgandy-/p/268675
"Whirlpool FP 263D Protton Roy 235 Litres Frost Free Triple Door Refrigerator with 6th Sense ActiveFresh Technology (20807, Alpha Steel)","₹24,590",/whirlpool-fp-263d-protton-roy-235-litres-frost-free-triple-door-refrigerator-with-6th-sense-activefresh-technology-20807-alpha-steel-/p/207475
"O GENERAL 1 Ton 3 Star Inverter Split AC (Copper Condenser, ASGG12CPAA-B)","₹38,990",/o-general-1-ton-3-star-inverter-split-ac-copper-condenser-asgg12cpaa-b-/p/269314
"Croma 7 kg 5 Star Fully Automatic Top Load Washing Machine (CRLW070FAF259601, Air Dry Function, Grey)","₹11,490",/croma-7-kg-5-star-fully-automatic-top-load-washing-machine-crlw070faf259601-air-dry-function-grey-/p/252060
VOLTAS Vectra 4 in 1 Convertible 1.3 Ton 3 Star Inverter Split AC with Anti Dust Filter (Copper Condenser),"₹29,490",/voltas-vectra-4-in-1-convertible-1-3-ton-3-star-inverter-split-ac-with-anti-dust-filter-copper-condenser-/p/270260
